scenario,kpi,wilcoxon_p_vs_baseline,significant
EV Adoption Growth (Low),sessions_completed,1.0385671547846384e-83,True
EV Adoption Growth (High),sessions_completed,1.198450206229435e-83,True
Time-of-Use Pricing,sessions_completed,0.7448635305319935,False
Carbon-Aware Incentives,sessions_completed,0.19781879190383722,False
Combined Policy,sessions_completed,0.4352387327804247,False
EV Adoption Growth (Low),energy_kwh,1.2800120754180319e-83,True
EV Adoption Growth (High),energy_kwh,1.2647189486921486e-83,True
Time-of-Use Pricing,energy_kwh,0.2754728570195183,False
Carbon-Aware Incentives,energy_kwh,0.37765894936156097,False
Combined Policy,energy_kwh,0.4242238974245688,False
EV Adoption Growth (Low),revenue_gbp,1.2800120754180319e-83,True
EV Adoption Growth (High),revenue_gbp,1.264716101234528e-83,True
Time-of-Use Pricing,revenue_gbp,1.0496542896475714e-80,True
Carbon-Aware Incentives,revenue_gbp,0.377320411698717,False
Combined Policy,revenue_gbp,1.2092440026399576e-79,True
EV Adoption Growth (Low),co2_g,1.2800120754180319e-83,True
EV Adoption Growth (High),co2_g,1.2647189486921486e-83,True
Time-of-Use Pricing,co2_g,0.2753366925233316,False
Carbon-Aware Incentives,co2_g,0.3774050680403426,False
Combined Policy,co2_g,0.42404455177620826,False
EV Adoption Growth (Low),avg_wait_hrs,6.20491298035947e-10,True
EV Adoption Growth (High),avg_wait_hrs,1.714083722679306e-25,True
Time-of-Use Pricing,avg_wait_hrs,0.380963076509372,False
Carbon-Aware Incentives,avg_wait_hrs,0.5299552725420018,False
Combined Policy,avg_wait_hrs,0.5519439490886677,False
EV Adoption Growth (Low),avg_utilisation,1.8765885772864265e-83,True
EV Adoption Growth (High),avg_utilisation,1.2616701124815844e-83,True
Time-of-Use Pricing,avg_utilisation,0.8788372371918918,False
Carbon-Aware Incentives,avg_utilisation,0.916916541991104,False
Combined Policy,avg_utilisation,0.6746036164188461,False
